Term,Term-id,Term-frequency
hussy,5272,1
regrowing,2710,1
uhhhhhhhhh,3169,2
ken,1507,3
#again,6218,2
spiting,7963,1
universitas,1755,1
robbing,7951,1
key,173,15
eager,6085,1
trainingchange,1497,1
boda,7305,1
#fail,4030,4
script,4651,1
#breadncircus,8413,1
topped,4566,5
concretes,6710,1
5steps,8232,1
better,363,98
walk,2390,17
wall,5479,3
constitution,5608,1
salty,5709,1
saying,195,108
ignored,3631,1
nite,3776,2
congratulations,4816,5
wake,5983,2
touched,3901,7
nixon,1263,3
cheating,2059,8
artist,4274,2
voting,101,57
#awkward,48,3
#b,7948,1
justfunny,3395,1
#e,5878,1
audio,5859,1
singers,6781,1
communication,2624,1
society,4362,3
#g,7588,1
funny,874,41
audit,3229,1
shaver,4132,1
unsure,3146,1
#obamabiden2012,8045,1
#o,1842,2
feud,4571,1
ignores,4849,3
#t,2224,1
anew,4457,1
wedding,181,28
m'fuckas,7295,1
suit,913,10
laying,4689,2
#cserocksthevote,5557,1
#importantissues,3456,1
fell,3885,3
anniversaire,1301,2
#paulryanvp,5960,1
#firstcouple,3818,1
confirmed,8078,1
convenience,5918,1
deliver,4301,2
grabbing,4556,2
sorriso,7158,1
anybody,705,8
educated,4080,9
damnnnnn,5184,1
#earnhardt,8007,1
programs,2282,6
noticing,5963,1
delivers,1334,1
charging,4298,1
murdered,6412,2
steps,1092,3
shadey,5128,2
stripes,5283,1
emotion,5937,2
earlier,3249,2
funds,4461,2
bazillion,3866,1
delivery,6609,2
thee,2261,1
follower,4760,2
#us2012,6593,1
irritated,5366,2
showdown,2182,1
followed,5498,2
generalities,4942,1
kos,5375,1
hawaiian,6138,1
wskills,4105,1
emanating,5839,1
#envivo,7792,1
irritates,4477,2
jacket,1892,4
usual,1179,11
hotter,7208,1
larger,3817,4
guessing,8281,1
capitalizes,7031,1
barry,1703,9
15th,2830,1
dimulai,2093,1
it'd,4478,1
within,4865,9
#ummmmwhat,7676,1
#natgas,6055,1
imitated,6334,1
expenditure,8410,1
incrementar,7733,1
second,430,10
equity,4291,1
#fuckpolitics,548,1
#embarrassing,4634,1
study,2622,3
slimebag,4224,1
middle,390,75
infomercial,7985,1
preps,6094,1
#blue,6077,2
looks,205,190
results,7961,2
hardcore,3797,1
gather,5381,1
facebook,2607,4
#knowledge,5943,1
educ,4504,2
kongratulated,5259,1
appropriate,7798,1
fuckboy,7813,1
controlled,8420,1
doubt,5274,3
crrrying,5928,1
suck,768,15
offering,1711,5
forthright,3142,1
league,2839,2
#thetruth,4176,1
jabbed,4342,1
#g442,2633,3
stuff,1879,14
cnbcnyt,1740,1
chents,4710,1
millionaires,1835,3
included,1972,3
kno,5397,2
srsly,7336,1
whooping,3566,1
appreciate,2801,5
gibson,3592,1
asswiper,4130,1
busted,5155,1
#immaletyoufinish,7556,1
includes,4564,3
affect,5981,2
sends,2636,1
smaller,368,7
wack,4146,1
stupidly,1029,1
messaging,6899,1
stuck,769,6
giants,2429,2
kkk,7080,1
skipping,4343,1
iraq,7402,1
recognizes,568,1
keymaster,4878,1
felt,2493,2
imagining,6850,1
loosen,3935,1
