Phrase,TextRankScore,RakeDegScore,RakeFreqScore,RakeDBFScore
answers ,2.140613,47.000000,19.000000,2.473684
explaining ,0.564606,4.000000,4.000000,1.000000
dad ,1.328702,18.000000,12.000000,1.500000
run ,0.988017,16.000000,12.000000,1.333333
lol idk ,3.652930,144.000000,69.000000,3.816667
know ,3.410289,240.000000,145.000000,1.655172
know nothing ,4.986391,306.000000,178.000000,3.655172
politics ,2.052953,46.000000,33.000000,1.393939
just ,7.052906,1044.000000,361.000000,2.891967
want ,3.983318,228.000000,134.000000,1.701493
president ,9.492084,864.000000,378.000000,2.285714
obama ,15.681776,1709.000000,751.000000,2.275632
like ,12.308358,1287.000000,430.000000,2.993023
way ,2.146889,74.000000,51.000000,1.450980
disengage ,0.000000,1.000000,1.000000,1.000000
silly americans ,2.598268,40.000000,19.000000,4.014286
decide ,0.751987,4.000000,3.000000,1.333333
watch debates ,4.078290,160.000000,88.000000,3.730158
govt ,1.771459,17.000000,9.000000,1.888889
need ,2.739506,118.000000,76.000000,1.552632
put ,1.132325,33.000000,18.000000,1.833333
money ,2.864158,79.000000,42.000000,1.880952
focus ,0.678458,12.000000,9.000000,1.333333
education ,3.411477,97.000000,59.000000,1.644068
need ,2.739506,118.000000,76.000000,1.552632
put ,1.132325,33.000000,18.000000,1.833333
effort ,0.000000,1.000000,1.000000,1.000000
raising ,0.769536,6.000000,4.000000,1.500000
kids ,1.142676,16.000000,9.000000,1.777778
take much ,6.499681,263.000000,126.000000,4.174603
makes ,3.121999,97.000000,37.000000,2.621622
self look stupid ,5.190908,315.000000,131.000000,7.453678
obama ,15.681776,1709.000000,751.000000,2.275632
obamas campaiqn sloqan ,0.886522,48.000000,18.000000,8.625000
go black ,5.675906,245.000000,122.000000,4.062778
never go back #teamobama ,11.964360,473.000000,206.000000,9.322925
ctfuu ,0.000000,1.000000,1.000000,1.000000
presidential candidate mitt romney takes ,61.227521,8186.000000,2750.000000,12.075161
stage ,2.117765,27.000000,21.000000,1.285714
minutes ,1.745874,44.000000,33.000000,1.333333
mitt romney ,53.459348,7924.000000,2630.000000,6.050591
sleazy ,0.385729,2.000000,2.000000,1.000000
anyone believe ,3.424348,121.000000,59.000000,4.177381
comes ,1.205172,45.000000,23.000000,1.956522
mouth ,1.187502,65.000000,31.000000,2.096774
obama ,15.681776,1709.000000,751.000000,2.275632
exactly ,0.791448,24.000000,9.000000,2.666667
gore ,0.782893,9.000000,3.000000,3.000000
agree ,1.411898,35.000000,28.000000,1.250000
means romney ,29.568438,4234.000000,1461.000000,4.904828
driving ,0.485087,2.000000,2.000000,1.000000
stop debating things ,4.470386,162.000000,72.000000,7.227272
matter ,0.738223,9.000000,9.000000,1.000000
tune ,0.576776,15.000000,13.000000,1.153846
real debate ,10.094951,532.000000,276.000000,4.510234
watching #presidentialdebate ,5.323944,265.000000,161.000000,3.458117
fam ,0.536104,3.000000,2.000000,1.500000
good friends ,3.266574,160.000000,71.000000,4.176587
else ,1.473016,36.000000,16.000000,2.250000
watching ,3.296717,158.000000,107.000000,1.476636
journalist ,0.442738,2.000000,2.000000,1.000000
long ,0.958889,19.000000,12.000000,1.583333
answer straight ,4.307140,122.000000,65.000000,3.903846
shots freak ,0.566871,15.000000,5.000000,5.250000
mitt romney needs ,54.790277,7989.000000,2658.000000,8.372020
stop ,1.817494,81.000000,33.000000,2.454545
fake laughing ,2.236086,70.000000,33.000000,3.954546
