Word1,Word2,Likilihood Ratio,Frequency,Mean Distance,StandardDeviation,Variance
mix,social,15.617357398239768,1,3.0,0.0,0.0
whose,corner,13.891614394966268,1,1.0,0.0,0.0
closing,deficit,27.899240890277866,2,2.0,0.0,0.0
million,students,47.7947753667907,5,1.2,0.4472135954999579,0.2
specific,keep,84.7381373757674,9,3.0,0.0,0.0
stein,#occupythedebates,15.617357398239768,1,1.0,0.0,0.0
focus,energy,9.142524884208115,1,3.0,0.0,0.0
use,pepper,12.510381213752215,1,3.0,0.0,0.0
trash,talk,8.592024852561607,1,1.0,0.0,0.0
talk,flowing,10.816817685809653,1,2.0,0.0,0.0
romney,different,11.775517314290823,4,0.5,2.886751345948129,8.333333333333334
rephrasing,opening,11.094769858889713,1,2.0,0.0,0.0
1st,rule,8.655093634082917,1,1.0,0.0,0.0
club,watch,8.277619169907787,1,2.0,0.0,0.0
look,points,10.135584876274834,2,0.0,4.242640687119285,18.0
states,thats,8.456145210044383,1,1.0,0.0,0.0
education,feels,19.024042348548342,2,0.5,3.5355339059327378,12.5
romney,wants,9.172634047879455,5,1.4,0.8944271909999159,0.8
talk,cant,9.095153639845435,1,3.0,0.0,0.0
em,jim,10.266604825611608,1,1.0,0.0,0.0
su,lo,13.041860343245652,1,3.0,0.0,0.0
clinton,1st,9.559651090972217,1,1.0,0.0,0.0
bit,pro,13.23244092471029,1,1.0,0.0,0.0
term,trickledown,9.091501544705295,1,1.0,0.0,0.0
entre,su,11.120947767024532,1,1.0,0.0,0.0
control,breast,13.837352044086117,1,2.0,0.0,0.0
house,episode,12.568756447130099,1,1.0,0.0,0.0
lying,ass,21.04439803824252,2,1.5,0.7071067811865476,0.5
everyone,cheer,12.176360855682308,1,2.0,0.0,0.0
many,times,50.17551393465013,4,1.0,0.0,0.0
million,people,84.58449667577634,11,0.8181818181818182,0.9816498172140428,0.9636363636363636
allow,laugh,9.879963512616882,1,3.0,0.0,0.0
million,created,15.158722032213063,2,0.5,2.1213203435596424,4.5
million,jobs,132.19098415870553,16,1.0,0.0,0.0
acceptable,ignore,15.617357398239768,1,2.0,0.0,0.0
always,brown,11.50762988790008,1,2.0,0.0,0.0
always,someone,8.075955181976383,1,1.0,0.0,0.0
always,idea,10.266604825608312,1,3.0,0.0,0.0
us,future,10.045831033088177,2,3.0,0.0,0.0
debating,start,7.948769001912822,1,1.0,0.0,0.0
point,daily,10.816817685809653,1,3.0,0.0,0.0
romney,points,22.06041342608262,8,0.25000000000000006,2.3145502494313788,5.357142857142857
self,#debatewatch,12.362671895768102,1,2.0,0.0,0.0
sorry,men,8.125283760162006,1,2.0,0.0,0.0
romney,give,14.329794674150094,5,5.551115123125783E-17,2.0,4.0
wife,front,11.978533074198197,2,2.0,0.0,0.0
telling,wife,11.978533074198197,2,2.0,0.0,0.0
education,work,16.90188164975018,3,1.6666666666666665,2.3094010767585034,5.333333333333334
romney,support,14.188436563020787,4,0.0,2.309401076758503,5.333333333333333
romney,wrong,9.250750469766416,3,2.6666666666666665,0.5773502691896258,0.33333333333333337
high,student,10.55761901257165,1,1.0,0.0,0.0
romney,trying,12.639898436716464,4,1.5,0.5773502691896257,0.3333333333333333
point,romney,14.583762078609311,6,1.0,1.6733200530681511,2.8000000000000003
started,wishing,24.707308264359085,3,2.6666666666666665,0.5773502691896257,0.33333333333333326
romney's,eyebrow,8.982385021810234,1,1.0,0.0,0.0
