Phrase,TextRankScore,RakeDegScore,RakeFreqScore,RakeDBFScore,ActualTweet
go president obama ,19.522289,3302,1346,6.943843,
mitt romney's first rebuttal tonight ,19.440229,2619,873,14.919899,
obama answered first question ,19.377757,2847,1163,9.090251,
mitt obama ,19.358426,3767,1347,5.750437,
romney lying like shit ,19.32912,2316,851,9.436392,
saying president romney ,19.297146,3006,1149,7.262677,
president obama shook hands ,19.237731,3219,1297,11.190645,
manufacturing lower tax rates #debates #obama amazing idea ,19.231881,1017,423,24.369881,
first lady michelle obama ,19.219674,2917,1142,10.253155,
romney says something stupid ,19.180537,2119,756,10.540231,
things obama just said ,19.18002,2887,1120,9.842532,
governor romney just said ,19.161854,2678,960,10.723124,
#debates romney gets ,19.126899,2407,899,7.366675,
wow president obama wished ,19.088125,3210,1307,8.494216,
love president obama ,19.079855,3313,1373,6.464961,
wishing ur wife happy anniversary ,19.043121,1179,519,11.78193,
mitt romney's name like ,19.033457,2306,757,11.016357,
#debates romney voice deeper ,18.997519,2377,886,11.279402,
president obama give ,18.941291,3212,1305,6.753831,
obama might get hood ,18.919242,2364,946,10.420238,
presidential #debates watch live ,18.914448,1132,464,10.217938,
pres obama really start ,18.912856,2430,966,9.378572,
president obama wants ,18.908382,3253,1324,6.869216,
think president obama ,18.850505,3279,1351,6.480327,
romney look like ,18.818864,2327,862,7.081782,
#debates open discussion obama ,18.793499,2619,1057,10.854655,
obama put us ,18.785575,2388,937,7.139421,
obama said next year ,18.746571,2433,958,9.392807,
white people let obama ,18.742039,2480,976,10.255195,
barack obama years ,18.691275,2540,985,7.391102,
romney looks good millioniare ,18.577312,2263,810,12.281144,
wife michelle happy anniversary ,18.56518,1283,555,9.001066,
romney just said ,18.52957,2625,939,8.199314,
first question obama ,18.509827,2825,1154,6.645807,
barack obama makes ,18.505714,2515,956,8.167395,
obama look like ,18.47741,2562,1029,6.796429,
president obama went seconds ,18.474902,3198,1293,9.994216,
de la mano de romney ,18.467885,2058,724,12.142496,
math #obama now lets give #romney ,18.463947,922,397,14.027833,
#debates governor romney ,18.449411,2401,895,7.530485,
president obama gave ,18.431137,3212,1297,7.591438,
great job romney ,18.423366,2079,752,7.061929,
president obama addresses deficit ,18.402988,3182,1288,10.083502,
#romney just call s approach trickledown ,18.398721,941,369,14.172845,
obama just got ,18.378206,2771,1092,6.924451,
obama fan please watch ,18.283879,2436,962,10.017812,
obama know damn well ,18.26412,2370,960,9.112381,
president obama starts ,18.231855,3236,1308,7.386457,
#debates get social w ,18.219556,698,317,11.060012,
obama just said educate ,18.188116,2864,1107,11.913961,
obama gets president ,18.147014,3222,1304,7.229216,
president obama gets ,18.147014,3222,1304,7.229216,
obama better throw us ,18.142326,2433,956,11.27831,
obama gets first answer ,18.124971,2819,1131,9.117352,
exactly president obama ,18.09706,3183,1289,6.869216,
american people obama ,18.061463,2481,969,8.034416,
different path romney opens strong ,17.977372,2029,722,12.442173,
romney calls jobs ,17.965744,2192,802,8.226571,
major way mitt romney's idea ,17.933597,2098,672,14.158175,
romney just say ,17.93247,2587,937,7.689371,
mitt romney's flag lapel pin ,17.931455,2238,676,18.603196,
presidential candidate romney ,17.923215,2274,810,7.731021,
watch presidential debate streaming live ,17.918683,1327,553,13.220426,
mitt romney's smaller federal government ,17.901272,2105,672,15.13715,
obama just let ,17.898782,2763,1073,7.656385,
just let obama ,17.898782,2763,1073,7.656385,
woman grabbed mitt romney's arm ,17.887989,2138,674,15.229298,
barack obama campaign ,17.881659,2506,951,8.293063,
#debates romney ,17.817127,2348,874,5.006675,
wed michelle obama years ,17.800399,2426,973,10.477259,
watching us presidential debate ,17.788202,1356,617,8.99997,
barack obama wants ,17.780161,2556,979,7.940122,
telling michelle happy 20th anniversary ,17.722827,1334,526,13.113279,
mitt really just say ,17.711324,2428,831,10.290169,
just want obama ,17.710823,2784,1110,6.675,
mitt romney's like ,17.697828,2282,745,9.016357,
president obama mentioned ,17.690526,3201,1292,7.792293,
wish president obama ,17.687196,3203,1306,6.350697,
romney high income people ,17.680143,2206,795,10.259163,
romney just named exactly ,17.674755,2486,889,10.517496,
president obama came ,17.674135,3190,1291,7.119216,
president obama begins ,17.641012,3181,1287,7.119216,
made obama look bad ,17.552235,2336,929,9.023281,
obama isnt president ,17.538471,3170,1282,7.202549,
president obama putting ,17.53476,3172,1284,6.669216,
romney already sounds fake ,17.528501,2040,726,9.891516,
obama get ,17.494694,2336,936,4.515476,
#debates obama ,17.475673,2583,1041,4.721322,
#debates obama dodges ,17.475673,2586,1042,7.721322,
obama #debates ,17.475673,2583,1041,4.721322,
dear president obama ,17.47503,3187,1287,7.869216,
romney keep talking ,17.463015,2180,781,7.626623,
obama finish talking everyone ,17.437346,2281,908,8.323517,
#liblies #debates obama's first lie health ,17.436549,1222,503,16.398072,
omg president obama ,17.363239,3183,1288,7.091438,
love mitt romney's hair ,17.346648,2162,715,11.184872,
love mitt romney's ideas ,17.34577,2143,711,10.637253,
romney rips obama's face ,17.334483,2185,777,11.26618,
romney gets first catch phrase ,17.333824,2493,900,13.651594,
mitt romney's tie ,17.315903,2146,676,9.290041,
aww president obama ,17.299727,3180,1287,6.994216,
realistic #teamobama romney ideas ,17.296549,1981,704,9.282056,
think obama just caught ,17.273216,2805,1114,9.843254,
obama said america ,17.265878,2401,955,6.789981,
obama celebrating anniversary ,17.262269,2785,1112,6.517399,
obama dice que el ,17.258345,2293,869,16.544611,
seconds president obama reminds ,17.241127,3184,1288,10.994216,
obama speaking like ,17.240911,2502,998,6.880206,
romney just talk ,17.233346,2512,911,7.201707,
pretty sure obama ,17.221374,2297,919,7.067064,
obama re jobs ,17.215087,2417,966,7.905504,
discuss president obama ,17.201911,3172,1281,9.369216,
obama wishing michelle ,17.201349,2413,957,6.831835,
mitt romney's head looks ,17.195075,2140,658,13.238886,
wishing wife happy anniversary ,17.189274,1148,510,8.337486,
president romney ,17.178696,2928,1112,5.154569,
obama discusses education reform ,17.158303,2360,926,11.979359,
first us presidential #debate ,17.157398,1086,421,10.072391,
president obama acknowledges ,17.134111,3167,1281,6.869216,
obama sounds like ,17.133475,2501,994,7.484373,
sounds like obama ,17.133475,2501,994,7.484373,
alert mitt romney's flag pin ,17.119246,2194,666,19.148651,
president obama discussing ,17.107545,3169,1282,6.869216,
#denverdebate obama recycled answer ,17.105858,2393,964,10.655476,
barack obama starts ,17.103634,2539,963,8.457363,
president obama gained ,17.10323,3172,1282,7.869216,
stupid shit romney says ,17.080586,2115,755,10.486467,
#denverdebate romney congratulates obamas ,17.063536,2088,744,10.634162,
mitt romney's hair though ,17.044267,2032,632,11.407309,
obama hire 100k stem teachers ,17.042499,2317,909,16.966049,
lol obama said wassup loser ,17.039511,2410,940,17.582711,
president obama continues ,17.035563,3168,1281,7.369216,
president obama acknowledging ,17.005679,3170,1281,8.369216,
president obama kicks ,17.004505,3171,1282,7.535883,
president obama speaks ,17.002453,3168,1281,7.369216,
pres obama's 20th wedding anniversary ,16.996314,1162,454,13.671427,
mitt romney's domestic policy ,16.958447,2064,636,13.200238,
many questions mitt just ,16.945316,2263,755,10.392103,
wow mitt romney's hair ,16.902885,2042,641,11.089127,
really want obama ,16.892703,2384,970,6.25,
barack obama friends ,16.873293,2476,938,8.440122,
think romney said ,16.844761,2206,811,7.135425,
president obama ,16.837242,3163,1279,4.869216,
edward klein president obama ,16.837242,3171,1281,12.869216,
chat president obama ,16.837242,3166,1280,7.869216,
barack obama jacket ,16.790241,2478,938,8.940122,
obama anniversary ,16.774948,2766,1100,4.934066,
anniversary obama ,16.774948,2766,1100,4.934066,
jobs obama ,16.724222,2404,962,4.655504,
already kissing ass #romney hahaha hell yeah ,16.717905,446,182,17.883857,
obama talks like ,16.692702,2491,994,6.651039,
yes let us keep tution cost low ,16.660073,688,257,23.087692,
acknowledging president obama's anniversary ,16.656586,1894,796,10.86268,
#presidentialdebate romney lets talk ,16.647228,2157,798,9.447342,
romney just wanna ,16.644649,2487,886,8.517496,
obama lies just ,16.586406,2701,1047,7.803572,
much bigger romney's american flag lapel pin ,16.574519,802,245,22.316662,
someone replaced mitt romney's microphone ,16.529262,2022,627,15.205794,
thing obama said ,16.528664,2393,935,7.583789,
watch romney kick ,16.472108,2119,764,7.234095,
top obama ed plans ,16.426889,2271,908,9.262143,
obama middle class ,16.419333,2364,933,7.195798,
romney already battling differences ,16.414349,2012,713,11.974849,
shit obama say ,16.406636,2357,934,7.062351,
nice joke romney ,16.391383,2031,736,6.5462,
mitt romney's getting rid ,16.360103,2008,627,11.851032,
way back obama ,16.331205,2288,917,6.29418,
like obama cuz ,16.31407,2477,986,6.817706,
mitt romney's jacket flag ,16.304413,2092,641,13.255794,
middle class #debatefest #romney #obama lol ,16.289987,863,363,17.801011,
debate provides obama ,16.264683,2775,1129,7.72381,
#debates get back ,16.159847,678,324,6.159549,
pulled barack obama ,16.146056,2473,936,9.440122,
mitt romney's mouth tonight ,16.14419,2127,681,12.85969,
obama claims education ,16.108445,2304,913,7.183904,
wishing michelle happy anniversary ,16.093722,1217,500,9.367062,
important thing obama wants ,16.078499,2335,930,8.714471,
romney just started ,16.064424,2487,892,7.570128,
mitt romney's flag lapel ,16.035402,2129,648,14.710339,
#debates mitt gets ,16.025801,2113,733,7.717473,
obama's blue tie really brings ,16.006026,685,271,12.831805,
just told obama ,15.99776,2709,1055,6.965476,
